method,rep,t,ess
copf_ce,1,13,339.524
copf_ce,1,14,248.298
copf_ce,1,15,372.992
copf_ce,1,16,283.722
copf_ce,1,17,218.415
copf_ce,1,18,421.433
copf_ce,1,19,314.935
copf_ce,1,20,213.732
copf_ce,1,21,378.866
copf_ce,1,22,213.935
copf_ce,1,23,320.12
copf_ce,1,24,190.319
copf_ce,1,25,336.643
copf_ce,1,26,246.049
copf_ce,1,27,334.509
copf_ce,1,28,270.112
copf_ce,1,29,187.976
copf_ce,1,30,378.059
copf_ce,1,31,285.704
copf_ce,1,32,230.212
copf_ce,1,33,393.733
copf_ce,1,34,323.117
copf_ce,1,35,226.41
copf_ce,1,36,414.642
copf_ce,1,37,328.293
copf_ce,1,38,232.818
copf_ce,1,39,308.721
copf_ce,1,40,214.202
copf_ce,1,41,343.01
copf_ce,1,42,253.168
copf_ce,1,43,167.955
copf_ce,1,44,317.634
copf_ce,1,45,203.043
copf_ce,1,46,342.769
copf_ce,1,47,256.129
copf_ce,1,48,201.293
copf_ce,1,49,401.473
copf_ce,1,50,296.858
copf_ce,1,51,176.123
copf_ce,1,52,344.357
copf_ce,1,53,266.185
copf_ce,1,54,201.036
copf_ce,1,55,266.155
copf_ce,1,56,180.837
copf_ce,1,57,344.849
copf_ce,1,58,246.306
copf_ce,1,59,371.834
copf_ce,1,60,236.367
copf_ce,1,61,266.348
copf_ce,1,62,137.727
copf_ce,1,63,292.23
copf_ce,1,64,192.239
copf_ce,1,65,276.099
copf_ce,1,66,117.135
copf_ce,1,67,242.519
copf_ce,1,68,271.797
copf_ce,1,69,148.071
copf_ce,1,70,194.52
copf_ce,1,71,306.41
copf_ce,1,72,117.601
copf_ce,1,73,234.331
copf_ce,1,74,234.214
copf_ce,1,75,257.282
copf_ce,1,76,147.324
copf_ce,1,77,330.579
copf_ce,1,78,233.506
copf_ce,1,79,385.37
copf_ce,1,80,283.726
copf_ce,1,81,186.446
copf_ce,1,82,331.014
copf_ce,1,83,210.182
copf_ce,1,84,371.28
copf_ce,1,85,224.717
copf_ce,1,86,274.775
copf_ce,1,87,114.573
copf_ce,1,88,252.753
copf_ce,1,89,237.352
copf_ce,1,90,223.899
copf_ce,1,91,231.149
copf_ce,1,92,280.28
copf_ce,1,93,141.211
copf_ce,1,94,301.598
copf_ce,1,95,199.349
copf_ce,1,96,319.272
copf_ce,1,97,187.712
copf_ce,1,98,344.104
copf_ce,1,99,223.164
copf_ce,1,100,372.149
copf_ce,1,101,258.427
copf_ce,1,102,182.963
copf_ce,1,103,326.258
copf_ce,1,104,231.371
copf_ce,1,105,242.533
copf_ce,1,106,337.048
copf_ce,1,107,219.659
copf_ce,1,108,364.346
copf_ce,1,109,263.348
copf_ce,1,110,194.086
copf_ce,1,111,403.108
copf_ce,1,112,273.209
copf_ce,1,113,193.686
copf_ce,1,114,326.143
copf_ce,1,115,222.328
copf_ce,1,116,380.367
copf_ce,1,117,290.841
copf_ce,1,118,236.78
copf_ce,1,119,406.822
copf_ce,1,120,335.948
copf_ce,1,121,273.787
copf_ce,1,122,184.593
copf_ce,1,123,289.503
copf_ce,1,124,201.824
copf_ce,1,125,363.439
copf_ce,1,126,263.945
copf_ce,1,127,195.951
copf_ce,1,128,389.157
copf_ce,1,129,246.968
copf_ce,1,130,387.182
copf_ce,1,131,314.183
copf_ce,1,132,241.472
copf_ce,1,133,374.327
copf_ce,1,134,294.991
copf_ce,1,135,235.612
copf_ce,1,136,391.343
copf_ce,1,137,267.561
copf_ce,1,138,181.957
copf_ce,1,139,386.975
copf_ce,1,140,239.881
copf_ce,1,141,390.747
copf_ce,1,142,312.191
copf_ce,1,143,219.338
copf_ce,1,144,410.009
copf_ce,1,145,334.784
copf_ce,1,146,276.489
copf_ce,1,147,237.483
copf_ce,1,148,191.409
copf_ce,1,149,378.054
pf_ce,2,0,1.76853
pf_ce,2,1,210.198
pf_ce,2,2,266.887
pf_ce,2,3,134.691
pf_ce,2,4,32.8061
pf_ce,2,5,232.735
pf_ce,2,6,32.815
pf_ce,2,7,246.034
pf_ce,2,8,105.304
pf_ce,2,9,195.393
pf_ce,2,10,240.106
pf_ce,2,11,102.12
pf_ce,2,12,161.161
pf_ce,2,13,85.2022
pf_ce,2,14,177.815
pf_ce,2,15,124.06
pf_ce,2,16,205.489
pf_ce,2,17,250.81
pf_ce,2,18,214.903
pf_ce,2,19,91.0125
pf_ce,2,20,59.8105
pf_ce,2,21,111.851
pf_ce,2,22,8.59351
pf_ce,2,23,76.133
pf_ce,2,24,29.8523
pf_ce,2,25,165.289
pf_ce,2,26,155.354
pf_ce,2,27,70.6986
pf_ce,2,28,73.4135
pf_ce,2,29,58.0744
pf_ce,2,30,184.44
pf_ce,2,31,228.326
pf_ce,2,32,224.606
pf_ce,2,33,177.685
pf_ce,2,34,114.817
pf_ce,2,35,62.3443
pf_ce,2,36,241.887
pf_ce,2,37,240.702
pf_ce,2,38,19.7716
pf_ce,2,39,76.7434
pf_ce,2,40,184.488
pf_ce,2,41,110.791
pf_ce,2,42,200.791
pf_ce,2,43,2.06377
pf_ce,2,44,118.982
pf_ce,2,45,180.54
pf_ce,2,46,155.621
pf_ce,2,47,57.575
pf_ce,2,48,219.631
pf_ce,2,49,180.901
pf_ce,2,50,112.253
pf_ce,2,51,7.10926
pf_ce,2,52,165.564
pf_ce,2,53,106.309
pf_ce,2,54,132.95
pf_ce,2,55,19.6381
pf_ce,2,56,41.5306
pf_ce,2,57,154.04
pf_ce,2,58,161.271
pf_ce,2,59,174.548
pf_ce,2,60,11.1603
pf_ce,2,61,22.1255
pf_ce,2,62,59.9504
pf_ce,2,63,76.8776
pf_ce,2,64,97.1037
pf_ce,2,65,23.6242
pf_ce,2,66,1.90467
pf_ce,2,67,104.561
pf_ce,2,68,119.542
pf_ce,2,69,135.495
pf_ce,2,70,2.15702
pf_ce,2,71,25.0776
pf_ce,2,72,108.947
pf_ce,2,73,40.928
pf_ce,2,74,106.236
pf_ce,2,75,118.157
pf_ce,2,76,65.2505
pf_ce,2,77,68.6977
pf_ce,2,78,194.048
pf_ce,2,79,183.291
pf_ce,2,80,120.395
pf_ce,2,81,74.2734
pf_ce,2,82,81.0555
pf_ce,2,83,128.775
pf_ce,2,84,189.025
pf_ce,2,85,23.0964
pf_ce,2,86,42.7777
pf_ce,2,87,1.98757
pf_ce,2,88,52.8047
pf_ce,2,89,41.223
pf_ce,2,90,44.3402
pf_ce,2,91,80.1856
pf_ce,2,92,107.018
pf_ce,2,93,141.368
pf_ce,2,94,145.447
pf_ce,2,95,107.392
pf_ce,2,96,112.112
pf_ce,2,97,68.0189
pf_ce,2,98,154.155
pf_ce,2,99,129.051
